candidate,seed,gamma,coupling_scale,nonlinear_strength,loss,input_injection,noise,connectivity_radius,peak_norm_through_t32,norm_t32,survival_t16,survival_t32,effective_rank_t32,effective_rank_retention,noise_adjusted_capacity_bits,cycle_period,input_separation,nonlinear_effect,accepted,failure_reasons
candidate-13,303,0.03,1.5,1.0,0.98,0.3,0.0,1,0.9777677707423517,0.5570181801501705,0.5822404804322131,0.34809531082948075,3.9999168345428835,0.9999801571624019,26.293505988210498,,0.16594684181199815,0.013708635526330351,true,
candidate-14,101,0.03,1.5,1.0,0.98,0.5,0.0,1,0.9723929877992792,0.44999821199627693,0.6481992679469023,0.4574610546830579,3.999965971089506,1.0000127886328314,26.35335424798535,,0.31823139918177,0.03250135263645043,true,
candidate-14,202,0.03,1.5,1.0,0.98,0.5,0.0,1,0.9697238318814551,0.37807626687369666,0.6210922147927754,0.3915830218986255,3.999936622853677,0.9999884297769022,26.298779871732584,,0.14107399330131065,0.000757714412357516,true,
candidate-14,303,0.03,1.5,1.0,0.98,0.5,0.0,1,0.9777035508873061,0.558243442165464,0.5813396993755757,0.3471093129752455,3.9999171992363114,0.9999803032646093,26.29288355918205,,0.27329192191762725,0.0204460952664732,true,
candidate-15,101,0.03,1.5,2.0,0.98,0.1,0.0,1,0.9722857521368552,0.47710029471487075,0.633211917151339,0.4354437432223754,3.9999715287196684,1.0000044157926735,26.335912231310843,,0.06122789038133497,0.01856553547608452,true,
candidate-15,202,0.03,1.5,2.0,0.98,0.1,0.0,1,0.9700688253038923,0.3814097698527947,0.6212689376661233,0.39176022371100805,3.9999364558291677,0.9999883358157484,26.298408957135024,,0.027710473705200668,0.0032428409771727944,true,
candidate-15,303,0.03,1.5,2.0,0.98,0.1,0.0,1,0.9772957031588576,0.5457554615128275,0.5871470363555763,0.3501027859873236,3.99992629721246,0.9999824061714129,26.293266930394964,,0.05367315876515332,0.01903105590683136,true,
candidate-16,101,0.03,1.5,2.0,0.98,0.3,0.0,1,0.9722555047121223,0.4581436696063903,0.6396837561497809,0.4469739793350912,3.9999686002919472,1.0000071430997768,26.33911310278291,,0.18141531863611027,0.0345027809397391,true,
candidate-16,202,0.03,1.5,2.0,0.98,0.3,0.0,1,0.9698935325354857,0.37944312942897007,0.6211945021337439,0.3916347030305948,3.999936636889117,0.9999883422983743,26.298188734186084,,0.08286525823955321,0.0021667808443781808,true,
candidate-16,303,0.03,1.5,2.0,0.98,0.3,0.0,1,0.9772576521955191,0.544700419578156,0.585682983565686,0.34848264962968156,3.9999249243019195,0.9999820910268539,26.292579871060745,,0.15924317907017993,0.02534600641248036,true,
candidate-17,101,0.03,1.5,2.0,0.98,0.5,0.0,1,0.9721183846763319,0.4419830587760756,0.6449688873169555,0.4528995036765926,3.9999678119964557,1.0000106385719494,26.342344641922463,,0.29513549677869905,0.05634214483173598,true,
