run,seed,corruption,severity,recurrence,wrong_to_correct,correct_to_wrong,wrong_to_correct_probability,correct_to_wrong_probability,confidence_amplifications,confidence_amplification_probability
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,30,0,0,0.0,0.0,953,0.953
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,31,0,0,0.0,0.0,944,0.944
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,32,0,0,0.0,0.0,935,0.935
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,1,0,0,0.0,0.0,0,0.0
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,2,0,0,0.0,0.0,1000,1.0
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,3,2,0,0.002183406113537118,0.0,998,0.998
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,4,0,0,0.0,0.0,1000,1.0
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,5,0,1,0.0,0.011627906976744186,999,0.999
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,6,0,0,0.0,0.0,999,0.999
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,7,0,0,0.0,0.0,1000,1.0
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,8,0,0,0.0,0.0,1000,1.0
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,9,0,0,0.0,0.0,1000,1.0
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,10,0,0,0.0,0.0,1000,1.0
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,11,0,0,0.0,0.0,999,0.999
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,12,0,0,0.0,0.0,1000,1.0
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,13,0,0,0.0,0.0,999,0.999
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,14,0,0,0.0,0.0,999,0.999
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,15,1,0,0.001092896174863388,0.0,999,0.999
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,16,0,0,0.0,0.0,999,0.999
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,17,0,0,0.0,0.0,999,0.999
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,18,0,0,0.0,0.0,996,0.996
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,19,0,0,0.0,0.0,994,0.994
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,20,0,0,0.0,0.0,988,0.988
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,21,0,0,0.0,0.0,980,0.98
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,22,0,0,0.0,0.0,971,0.971
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,23,0,0,0.0,0.0,960,0.96
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,24,0,0,0.0,0.0,947,0.947
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,25,0,1,0.0,0.011627906976744186,931,0.931
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,26,0,0,0.0,0.0,909,0.909
brief3_primary_occlusion-010_seed_20260809,20260809,occlusion,0.1,27,0,0,0.0,0.0,897,0.897
